2rbp 1.46691 2rbs 1.557 2rbs 269
3s76 1.60101 5sz0 1.62888 5sz0 72D
3wc6 1.65099 5j1q 1.74 5j1q CXA
3wc6 1.65099 3wc5 1.70007 3wc5 DDK
5u0f 1.20679 4z1j 1.26915 4z1j 4KC
5y2r 0.999048 4fpt 0.98022 4fpt 0VZ
5y2s 0.897466 4fpt 0.98022 4fpt 0VZ
3ks3 0.900347 4fpt 0.98022 4fpt 0VZ
5y2r 0.999048 5ny1 1.09893 5ny1 9E5
3d93 1.10095 5ny1 1.09893 5ny1 9E5
3d92 1.10517 5ny1 1.09893 5ny1 9E5
3mi4 0.801098 5mng 0.85989 5mng BAM
3mfj 0.801098 5mng 0.85989 5mng BAM
5mn1 0.788483 5mng 0.85989 5mng BAM
5mnb 0.939371 5mng 0.85989 5mng BAM
5mnc 0.915877 5mng 0.85989 5mng BAM
5mnk 0.798835 5mng 0.85989 5mng BAM
4xv6 1.55001 4xv7 1.62063 4xv7 1LQ
4xv8 1.57001 4xv7 1.62063 4xv7 1LQ
4nva 1.55283 4xv7 1.62063 4xv7 1LQ
1pw2 1.94055 3qu0 1.95007 3qu0 X40
5oha 1.5504 4v2z 1.45051 4v2z Y70
4jm8 1.30018 5u61 1.22214 5u61 7WG
4jm5 1.26061 5u61 1.22214 5u61 7WG
4jmw 1.19001 5u61 1.22214 5u61 7WG
1pw2 1.94055 3qqk 1.85002 3qqk X02
3qnv 1.69002 3v7z 1.60998 3v7z GEM
5mnb 0.939371 5mno 0.960253 5mno MRZ
5mnc 0.915877 5mno 0.960253 5mno MRZ
5mne 1.00757 5mno 0.960253 5mno MRZ
5mnf 0.989979 5mno 0.960253 5mno MRZ
5mop 0.988985 5mno 0.960253 5mno MRZ
5mop 0.988985 5mno 0.960253 5mno MRZ
1pw2 1.94055 3r1q 1.84992 3r1q X75
3mi4 0.801098 5mnn 0.859481 5mnn MRZ
3mfj 0.801098 5mnn 0.859481 5mnn MRZ
5mn1 0.788483 5mnn 0.859481 5mnn MRZ
5mnb 0.939371 5mnn 0.859481 5mnn MRZ
5mnc 0.915877 5mnn 0.859481 5mnn MRZ
5mnk 0.798835 5mnn 0.859481 5mnn MRZ
5oh2 1.89693 4v30 1.8494 4v30 LVY
5mnb 0.939371 5mnh 0.93026 5mnh BAM
5mnc 0.915877 5mnh 0.93026 5mnh BAM
5mne 1.00757 5mnh 0.93026 5mnh BAM
5mnf 0.989979 5mnh 0.93026 5mnh BAM
5mop 0.988985 5mnh 0.93026 5mnh BAM
5mop 0.988985 5mnh 0.93026 5mnh BAM
4joh 1.47429 4nmt 1.39199 4nmt FAK
4nmo 1.39351 4nmt 1.39199 4nmt FAK
4nmp 1.30002 4nmt 1.39199 4nmt FAK
4nmq 1.40002 4nmt 1.39199 4nmt FAK
4k6y 1.48001 4nmt 1.39199 4nmt FAK
4jog 1.46466 4nmt 1.39199 4nmt FAK
4e34 1.39506 4nmt 1.39199 4nmt FAK
4e35 1.40002 4nmt 1.39199 4nmt FAK
4nve 1.49416 5u60 1.50001 5u60 7VS
4nvf 1.49 5u60 1.50001 5u60 7VS
1pw2 1.94055 3r8v 1.89982 3r8v Z62
4jm8 1.30018 5u5w 1.29002 5u5w 7W1
4jm5 1.26061 5u5w 1.29002 5u5w 7W1
4jqn 1.35966 5u5w 1.29002 5u5w 7W1
1pw2 1.94055 3qtw 1.84947 3qtw X3A
5mnb 0.939371 5mnp 1.00996 5mnp MRZ
5mne 1.00757 5mnp 1.00996 5mnp MRZ
5mnf 0.989979 5mnp 1.00996 5mnp MRZ
5mop 0.988985 5mnp 1.00996 5mnp MRZ
5mop 0.988985 5mnp 1.00996 5mnp MRZ
4jm8 1.30018 5u5y 1.3 5u5y 7W4
4jm5 1.26061 5u5y 1.3 5u5y 7W4
4jqn 1.35966 5u5y 1.3 5u5y 7W4
4jm8 1.30018 5u5u 1.33 5u5u NTN
4jm5 1.26061 5u5u 1.33 5u5u NTN
4jm9 1.40722 5u5u 1.33 5u5u NTN
4jqn 1.35966 5u5u 1.33 5u5u NTN
4jpu 1.4114 5u5u 1.33 5u5u NTN
7a3h 0.952722 8a3h 0.980597 8a3h IDC
1pw2 1.94055 3qwk 1.85004 3qwk X62
1pw2 1.94055 3qx4 1.92001 3qx4 X4B
1pw2 1.94055 3r7y 1.90005 3r7y 6d49
1pw2 1.94055 3qql 1.85018 3qql X03
1a3h 1.60047 3a3h 1.63528 3a3h CTR
4drr 1.50005 4drv 1.555 4drv A2G
5oh2 1.89693 5oh8 1.9496 5oh8 ROL
1pw2 1.94055 3rni 1.95001 3rni 21Z
2zq7 0.940007 2zqa 0.950007 2zqa CEF
1pw2 1.94055 3rm7 1.85007 3rm7 19Z
1pw2 1.94055 3r7e 1.90002 3r7e EF2
1pw2 1.94055 3r7v 1.95001 3r7v Z02
4joh 1.47429 4nmv 1.40004 4nmv 2KP
4nmo 1.39351 4nmv 1.40004 4nmv 2KP
4nmq 1.40002 4nmv 1.40004 4nmv 2KP
4k6y 1.48001 4nmv 1.40004 4nmv 2KP
4jog 1.46466 4nmv 1.40004 4nmv 2KP
4e34 1.39506 4nmv 1.40004 4nmv 2KP
4e35 1.40002 4nmv 1.40004 4nmv 2KP
1pw2 1.94055 3rk9 1.85008 3rk9 09Z
4jm8 1.30018 5u5v 1.22204 5u5v 7WA
4jm5 1.26061 5u5v 1.22204 5u5v 7WA
4jmw 1.19001 5u5v 1.22204 5u5v 7WA
1pw2 1.94055 3rjc 1.85006 3rjc 06Z
4drr 1.50005 4ds0 1.555 4ds0 NAG
1pw2 1.94055 3qtx 1.95 3qtx 9MR
5oha 1.5504 6r1c 1.49493 6r1c JOW
1pw2 1.94055 3qzh 1.95002 3qzh X69
1pw2 1.94055 3ql8 1.90007 3ql8 X01
4hgc 1.294 5mnq 1.33705 5mnq J3I
4xv6 1.55001 4xv5 1.55435 4xv5 BZI
4xv8 1.57001 4xv5 1.55435 4xv5 BZI
4nva 1.55283 4xv5 1.55435 4xv5 BZI
1pw2 1.94055 3r9d 1.95005 3r9d X6B
4uhm 1.32949 4uho 1.23876 4uho PLP
1pw2 1.94055 3unj 1.90006 3unj 0BX
3kok 1.39809 4mdg 1.35001 4mdg 25X
apo apo_res holo holo_res
2rbp 1.46691 2rbs 1.557 2rbs 269
1c6g 1.9158 2ou0 1.94213 2ou0 MR3
1koi 1.0800100000000001 2at8 1.0 2at8 FDD
1koi 1.0800100000000001 3c78 0.9800120000000001 3c78 FDD
1d2u 1.15115 3c77 1.0800299999999998 3c77 FDE
188l 1.7873299999999999 2oty 1.70059 2oty YAN
4hpd 1.30001 2at6 1.22003 2at6 FDE
1ssx 0.829996 2h5d 0.899717 2h5d MSU
4hpd 1.30001 2at5 1.22 2at5 FDE
4pth 0.8494860000000001 4psy 0.8494860000000001 4psy NAP
4gfs 1.8010099999999998 4gui 1.7800200000000002 4gui QIC
5d8o 1.9000099999999998 6nlk 1.85 6nlk KTG
1c6h 1.9166 2rb0 1.8396 2rb0 260
1yfu 1.9 4i3p 1.9607700000000001 4i3p 1CW
3ht8 1.46241 3ht6 1.41088 3ht6 JZ0
483d 1.10585 4nmg 1.00959 4nmg 6FU
483d 1.10585 4nxh 1.15815 4nxh 6FU
1a3h 1.60047 6a3h 1.6664900000000002 6a3h FCT
5d8o 1.9000099999999998 6nlm 1.9 6nlm KT1
4m5v 1.7994599999999998 4w9s 1.7998599999999998 4w9s 3K1
2rbp 1.46691 2rbr 1.4336 2rbr 268
4ngj 1.09959 6ro3 1.00004 6ro3 KBW
1q9a 1.03995 5d99 0.97004 5d99 OMU
4i64 1.75046 4i6w 1.6633099999999998 4i6w 1CO
4m5v 1.7994599999999998 4mk2 1.8429200000000001 4mk2 28B
5nye 1.55001 5nyc 1.51005 5nyc CNV
4plu 1.62897 4oyq 1.6972200000000002 4oyq 1X2
3hua 1.40226 3htd 1.3998899999999999 3htd JZ5
5k7r 1.50001 3gy5 1.56803 3gy5 BRN
6fji 1.5994 4r59 1.6473900000000001 4r59 3J3
1l83 1.70629 2raz 1.64061 2raz 259
181l 1.70629 2raz 1.64061 2raz 259
3rxp 1.59933 3gy4 1.54961 3gy4 HMG
4ptj 1.05027 4rgc 1.05027 4rgc NAP
5k7r 1.50001 3gy2 1.5671700000000002 3gy2 BRN
6fji 1.5994 4riu 1.6505400000000001 4riu 2c18
5ny2 1.8499400000000001 5nyb 1.8808 5nyb 9EE
5d2f 1.73775 5d2h 1.73659 5d2h AKG
5bry 1.33877 6b4n 1.30118 6b4n G53
2z9g 1.8585099999999999 2z3c 1.7900599999999998 2z3c Z3E
4ncy 1.423 1gi2 1.3301 1gi2 122
4ncy 1.423 1gi1 1.3309 1gi1 BMZ
5bry 1.33877 5wlo 1.26938 5wlo GR7
1c2m 1.33039 1gi0 1.34009 1gi0 BMZ
1t99 1.75004 1zha 1.7399099999999998 1zha APX
1c2m 1.33039 1ghz 1.3301 1ghz 120
2j12 1.50119 2wbw 1.55016 2wbw SIA
4who 1.82997 4whq 1.78235 4whq 3N8
5ch3 1.7100099999999998 5tyk 1.65 5tyk 7N4
5ivh 1.7100099999999998 5tyk 1.65 5tyk 7N4
5ivd 1.7100099999999998 5tyk 1.65 5tyk 7N4
3s0a 1.1499 3s0d 1.24001 3s0d CTV
3t67 1.6722 4whr 1.58205 4whr 3N8
1jiy 1.85011 1uih 1.7517599999999998 1uih NAG
3b2x 1.50153 2zxg 1.54996 2zxg S23
3f38 1.7502900000000001 3f33 1.70022 3f33 PFL
3f38 1.7502900000000001 3f34 1.6801400000000002 3f34 DIE
6cob 1.8211700000000002 6coe 1.84401 6coe MXN
2vnx 1.5000799999999999 2wd4 1.40065 2wd4 TBV
2vk5 0.969995 2bf6 0.970001 2bf6 SIA
3f38 1.7502900000000001 3f36 1.70006 3f36 IP0
4who 1.82997 3mv6 1.85894 3mv6 DHB
3htg 1.25621 3huk 1.28928 3huk J0Z
3q93 1.8 5nhy 1.72005 5nhy 8XT
4who 1.82997 3mfl 1.77562 3mfl DHY
3kok 1.39809 6oe0 1.3 6oe0 M8S
4qoo 1.75 4qom 1.65 4qom PYG
2ax2 1.50001 6oe1 1.45 6oe1 M8V
4i4u 1.5720100000000001 4i4v 1.50001 4i4v NGA
4js6 1.55005 4jsa 1.50004 4jsa FB2
4jsw 1.9 4jsz 1.9000099999999998 4jsz FB2
2ntw 1.5304200000000001 2ntu 1.53046 2ntu RET
1i2s 1.6532099999999998 1i2w 1.6543900000000002 1i2w 1QL
3atk 1.74102 1tx8 1.69714 1tx8 AM4
2vb9 1.50006 2vb8 1.5161799999999999 2vb8 TLM
188l 1.7873299999999999 2ray 1.7976400000000001 2ray 258
3mi4 0.801098 4i8h 0.75183 4i8h BEN
3mfj 0.801098 4i8h 0.75183 4i8h BEN
4zao 1.80065 6eeo 1.7191400000000001 6eeo J6V
2bza 1.8997400000000002 1g3c 1.79994 1g3c 109
3ev0 1.77151 1w4p 1.6756900000000001 1w4p UM3
3atk 1.74102 1tx7 1.75062 1tx7 4CM
3atk 1.74102 1bjv 1.6987299999999999 1bjv GP8
4l55 1.64668 1w4o 1.61161 1w4o UA3
6b6b 1.80003 6b6c 1.8996099999999998 6b6c 9F2
5mnc 0.915877 4i8j 0.871002 4i8j BEN
2tio 1.932 1f0t 1.90028 1f0t PR1
6b6b 1.80003 6b6e 1.8996400000000002 6b6e 9F2
3atk 1.74102 3aau 1.8002900000000002 3aau GZC
2bza 1.8997400000000002 1f0u 1.8016599999999998 1f0u RPR
2by5 1.3000200000000002 4yta 1.20002 4yta BEN
2by6 1.3000200000000002 4yta 1.20002 4yta BEN
2by9 1.3000200000000002 4yta 1.20002 4yta BEN
5mnc 0.915877 4i8k 0.8495389999999999 4i8k BEN
3mi4 0.801098 4i8g 0.801098 4i8g BEN
3mfj 0.801098 4i8g 0.801098 4i8g BEN
5mnc 0.915877 4i8l 0.869009 4i8l BEN
3ioh 1.25001 6gx0 1.25 6gx0 GDU
1utq 1.14998 4mtb 1.21974 4mtb BZY
2bza 1.8997400000000002 1g3e 1.8 1g3e 109
2bza 1.8997400000000002 1g3d 1.7999900000000002 1g3d 108
3ev0 1.77151 1w4q 1.67652 1w4q UMF
2by5 1.3000200000000002 3unr 1.20002 3unr BEN
2by6 1.3000200000000002 3unr 1.20002 3unr BEN
2by9 1.3000200000000002 3unr 1.20002 3unr BEN
6b6b 1.80003 6b6d 1.8000099999999999 6b6d 9F2
3k7k 1.90022 6ebe 1.8795 6ebe J3V
3k7k 1.90022 6eda 1.8795 6eda J3V
5k7r 1.50001 5t3h 1.5503200000000001 5t3h SEY
2bza 1.8997400000000002 1g3b 1.80005 1g3b 108
3p1d 1.8600700000000001 4a9k 1.80605 4a9k TYL
4zao 1.80065 6e8p 1.8998 6e8p HZJ
5xzt 1.8000099999999999 5y02 1.8 5y02 MXN
1tgc 1.7973 1qbo 1.80201 1qbo 711
4zao 1.80065 6e91 1.7987799999999998 6e91 J04
4q7w 1.45001 3ryj 1.39136 3ryj RYJ
4ygn 1.22908 3ryv 1.19201 3ryv RYV
4q7p 1.65005 2fmg 1.59975 2fmg PHE
4q7p 1.65005 2fmz 1.59992 2fmz DPN
4e5q 1.7024 5sz2 1.6303299999999998 5sz2 72G
4e5q 1.7024 5sz3 1.6888400000000001 5sz3 72H
4ywp 1.4481600000000001 6gxb 1.34991 6gxb FF5
5thn 1.29774 5nxg 1.199 5nxg RA1
3d92 1.10517 4fvo 1.04967 4fvo 0VV
3d92 1.10517 4fvn 1.05024 4fvn 0VW
4q7p 1.65005 5w8b 1.60123 5w8b A57
4zao 1.80065 6e92 1.7724799999999998 6e92 HZY
4q7p 1.65005 6b59 1.63781 6b59 CQS
3k7k 1.90022 5eij 1.9756799999999999 5eij 5OT
4e5q 1.7024 6mbv 1.69462 6mbv NIO
5y2r 0.9990479999999999 4frc 0.980049 4frc 0VY
4zao 1.80065 5jmz 1.89969 5jmz AYX
4e5q 1.7024 2q1q 1.65883 2q1q OSP
3k7k 1.90022 4m2u 1.9991599999999998 4m2u ETS
5thn 1.29774 5nya 1.19906 5nya GUA
3s76 1.60101 5sz1 1.54673 5sz1 72E
2oxz 1.90005 3lka 1.80053 3lka M4S
5u0f 1.20679 5nxm 1.24625 5nxm RA5
3s76 1.60101 5jn7 1.51661 5jn7 6LU
2vva 1.55996 4z1n 1.4688299999999999 4z1n 4KD
3k7k 1.90022 3m2x 1.86637 3m2x BEX
4q9y 1.55 6mby 1.4955200000000002 6mby FER
5nxv 1.09728 5ny6 1.10018 5ny6 9EB
4ywp 1.4481600000000001 5wlu 1.38754 5wlu 42G
5u0f 1.20679 5nxp 1.24888 5nxp 9DH
3kon 1.49753 5ny3 1.39992 5ny3 9E8
2ax2 1.50001 4z0q 1.45025 4z0q 4K9
6bfj 1.54275 2xyg 1.57594 2xyg TQ8
3k7k 1.90022 3mnu 1.80152 3mnu BON
4ywp 1.4481600000000001 5wlr 1.46201 5wlr 86B
5y2r 0.9990479999999999 4fu5 0.979928 4fu5 0VX
4q7p 1.65005 5wlt 1.56956 5wlt 86B
5yuk 1.449 4z1k 1.3499299999999999 4z1k 4KB
3d93 1.10095 5nxw 1.09912 5nxw RA9
2rbp 1.46691 1xep 1.54969 1xep CAQ
3k7k 1.90022 3bl0 1.9000099999999998 3bl0 BL0
4e5q 1.7024 5sz0 1.6288799999999999 5sz0 72D
3wc6 1.6509900000000002 5j1q 1.74 5j1q CXA
3wc6 1.6509900000000002 3wc5 1.70007 3wc5 DDK
5u0f 1.20679 4z1j 1.26915 4z1j 4KC
5y2r 0.9990479999999999 4fpt 0.9802200000000001 4fpt 0VZ
3d92 1.10517 5ny1 1.09893 5ny1 9E5
5mnb 0.939371 5mng 0.8598899999999999 5mng BAM
4xv8 1.5700100000000001 4xv7 1.62063 4xv7 1LQ
1pw2 1.94055 3qu0 1.95007 3qu0 X40
5oha 1.5504 4v2z 1.45051 4v2z Y70
4jm8 1.30018 5u61 1.22214 5u61 7WG
1pw2 1.94055 3qqk 1.85002 3qqk X02
3qnv 1.69002 3v7z 1.60998 3v7z GEM
5mne 1.00757 5mno 0.960253 5mno MRZ
1pw2 1.94055 3r1q 1.84992 3r1q X75
5mnb 0.939371 5mnn 0.8594809999999999 5mnn MRZ
5oh2 1.89693 4v30 1.8494 4v30 LVY
5mne 1.00757 5mnh 0.9302600000000001 5mnh BAM
4k6y 1.48001 4nmt 1.39199 4nmt FAK
4nve 1.49416 5u60 1.50001 5u60 7VS
1pw2 1.94055 3r8v 1.89982 3r8v Z62
4jqn 1.35966 5u5w 1.2900200000000002 5u5w 7W1
1pw2 1.94055 3qtw 1.8494700000000002 3qtw X3A
5mne 1.00757 5mnp 1.00996 5mnp MRZ
4jqn 1.35966 5u5y 1.3 5u5y 7W4
4jpu 1.4114 5u5u 1.33 5u5u NTN
7a3h 0.952722 8a3h 0.9805969999999999 8a3h IDC
1pw2 1.94055 3qwk 1.8500400000000001 3qwk X62
1pw2 1.94055 3qx4 1.9200099999999998 3qx4 X4B
1pw2 1.94055 3r7y 1.90005 3r7y 6d49
1pw2 1.94055 3qql 1.85018 3qql X03
1a3h 1.60047 3a3h 1.6352799999999998 3a3h CTR
4drr 1.50005 4drv 1.555 4drv A2G
5oh2 1.89693 5oh8 1.9496 5oh8 ROL
1pw2 1.94055 3rni 1.9500099999999998 3rni 21Z
2zq7 0.9400069999999999 2zqa 0.9500069999999999 2zqa CEF
1pw2 1.94055 3rm7 1.85007 3rm7 19Z
1pw2 1.94055 3r7e 1.90002 3r7e EF2
1pw2 1.94055 3r7v 1.9500099999999998 3r7v Z02
4k6y 1.48001 4nmv 1.40004 4nmv 2KP
1pw2 1.94055 3rk9 1.85008 3rk9 09Z
4jm8 1.30018 5u5v 1.22204 5u5v 7WA
1pw2 1.94055 3rjc 1.8500599999999998 3rjc 06Z
4drr 1.50005 4ds0 1.555 4ds0 NAG
1pw2 1.94055 3qtx 1.95 3qtx 9MR
5oha 1.5504 6r1c 1.4949299999999999 6r1c JOW
1pw2 1.94055 3qzh 1.95002 3qzh X69
1pw2 1.94055 3ql8 1.9000700000000001 3ql8 X01
4hgc 1.294 5mnq 1.33705 5mnq J3I
4xv8 1.5700100000000001 4xv5 1.55435 4xv5 BZI
1pw2 1.94055 3r9d 1.95005 3r9d X6B
4uhm 1.32949 4uho 1.23876 4uho PLP
1pw2 1.94055 3unj 1.9000599999999999 3unj 0BX
3kok 1.39809 4mdg 1.35001 4mdg 25X
3qmp 1.10004 6rvg 1.10001 6rvg XCO
5p13 1.3988200000000002 5mb7 1.29901 5mb7 4AV
5lct 1.4956399999999999 5lcp 1.42251
5lct 1.4956399999999999 5m6v 1.41774 5m6v H52
5lct 1.4956399999999999 5m71 1.48783 5m71 7K7
5lct 1.4956399999999999 5lcu 1.57945 5lcu SEP
5p4l 1.07932 5mb5 0.979665 5mb5 46P
5p4z 1.24843 5mb0 1.1486399999999999 5mb0 F91
2z9g 1.8585099999999999 2zu4 1.9335900000000001 2zu4 ZU3
5nxv 1.09728 3vbd 1.04976 3vbd 0FZ
3f32 1.7 1xz3 1.61805 1xz3 ICF
5nxv 1.09728 3v7x 1.032 3v7x D7A
1bio 1.50126 5fbi 1.46001 5fbi 5WD
1bio 1.50126 5fbe 1.43003 5fbe 5W5
3q93 1.8 6f23 1.84001 6f23 C8Z
2ztx 1.69658 2zu3 1.74747 2zu3 ZU3
3f38 1.7502900000000001 2gyd 1.7202400000000002 2gyd DFE
3v2n 1.8000099999999999 3v2p 1.87463 3v2p STE
5ok7 1.34 5oke 1.31 5oke XYT
5zp5 1.7668 5zpb 1.7926099999999998 5zpb TYQ
5zp5 1.7668 5zpo 1.729 5zpo TYQ
5zp5 1.7668 5zp2 1.7480000000000002 5zp2 TYQ
5zp5 1.7668 5zp0 1.7380000000000002 5zp0 TYQ
5zp5 1.7668 5zp6 1.6878400000000002 5zp6 TYQ
5zp5 1.7668 5zp3 1.7819999999999998 5zp3 TYQ
5zp5 1.7668 5zoy 1.695 5zoy TYQ
5zp5 1.7668 5zoz 1.7019 5zoz TYQ
5zp5 1.7668 5zox 1.69087 5zox TYQ
5zp5 1.7668 5zph 1.7196799999999999 5zph TYQ
1zhr 1.73131 4cr9 1.7001 4cr9 OTW
5zp5 1.7668 5zow 1.7776 5zow 5CT
5zp5 1.7668 5zou 1.679 5zou TYQ
5zp5 1.7668 5zpf 1.7589099999999998 5zpf TYQ
1zhr 1.73131 4cra 1.8002599999999997 4cra XJ8
5zp5 1.7668 5zpc 1.7406400000000002 5zpc TYQ
5zp5 1.7668 5zp9 1.69973 5zp9 TYQ
5zp5 1.7668 5zps 1.74796 5zps TYQ
5zp5 1.7668 5zpe 1.6891900000000002 5zpe TYQ
5zp5 1.7668 5zp4 1.7987400000000002 5zp4 TYQ
5zp5 1.7668 5zpi 1.74653 5zpi TYQ
5zp5 1.7668 5zpa 1.6888900000000002 5zpa TYQ
5zp5 1.7668 5zp1 1.66897 5zp1 TYQ
2ejd 1.84802 2bja 1.89895 2bja NAD
2iy6 1.79929 2ehu 1.80227 2ehu NAD
2iy6 1.79929 2eii 1.87894 2eii NAD
4p3r 1.1503 4kjj 1.1503 4kjj NAP
3csr 1.8000900000000002 3csz 1.80004 3csz NAG
2iy6 1.79929 2bhp 1.7982200000000002 2bhp NAD
3csr 1.8000900000000002 3ct0 1.7716 3ct0 NAG
3ch2 1.7989099999999998 3ch3 1.7891700000000001 3ch3 2HP
5bry 1.33877 2ien 1.2994299999999999 2ien 017
4j1b 1.65767 2htx 1.55971 2htx 220
4q9y 1.55 2gd8 1.45784 2gd8 PO1
5bry 1.33877 2aoi 1.33946 2aoi FRD
4r36 1.9006299999999998 4r37 1.90018 4r37 UD1
1f6k 1.60004 1f74 1.52789 1f74 NAY
4owc 1.62001 3qng 1.53662 3qng 2p2n
5bry 1.33877 2aod 1.3986399999999999 2aod 2NC
4nfo 1.60931 4nfp 1.60572 4nfp A7E
4lfp 1.71977 2hu1 1.62906 2hu1 220
4mlx 1.65 4q8x 1.55001 4q8x 7FH
2dvt 1.7 2dvx 1.70128 2dvx 23A
1kv8 1.61932 1xbv 1.65847 1xbv 5RP
3s76 1.60101 4q81 1.5497100000000001 4q81 7MH
1tks 1.6002299999999998 1tku 1.6964099999999998 1tku 5RP
4q7p 1.65005 4q83 1.55005 4q83 3FH
1kw3 1.45012 1kw6 1.45001 1kw6 BPY
4mlx 1.65 4q87 1.5500200000000002 4q87 4FH
4q9y 1.55 4q8y 1.45004 4q8y HQT
483d 1.10585 3s8u 1.20012 3s8u AT7
3mrj 1.87011 3ft2 1.8 3ft2 CIR
2nuo 1.49819 2nu5 1.5636 2nu5 NAG
1osu 1.23959 3hga 1.29871 3hga US5
483d 1.10585 3s7c 1.10019 3s7c UZR
1lpu 1.85752 1lp4 1.8604 1lp4 ANP
4j27 1.59102 4jl1 1.68 4jl1 LM5
4gwa 1.60001 4hap 1.60001 4hap CBI
5mh0 1.14202 5mh1 1.06713 5mh1 BMA
4jxq 1.15 4jxr 1.14995 4jxr ACO
1mop 1.60026 1n2e 1.60028 1n2e APC
5y57 1.9608900000000002 5y5r 1.89878 5y5r 8NL
5u7c 1.7502900000000001 5u88 1.8009 5u88 ZN9
1uka 1.70003 1uk8 1.6000299999999998 1uk8 LEA
4pym 1.19 3u81 1.13004 3u81 SAH
3gno 1.8300599999999998 3gnr 1.81003 3gnr G2F
1z5r 1.40001 2piy 1.43003 2piy 528
4bk6 1.63113 4bkc 1.7300099999999998 4bkc TSY
5bk9 1.5095 5bkb 1.5820100000000001 5bkb FTV
4zup 1.42068 4zun 1.39701 4zun SS9
3q2o 1.95688 3qff 1.96112 3qff ADP
4zup 1.42068 4zuo 1.33 4zuo XS6
4zup 1.42068 4zum 1.42001 4zum 4qdo
3ikn 1.6 3ikr 1.6500099999999998 3ikr MAN
6eoc 1.6675 6eoe 1.705 6eoe ADP
2x95 1.9596900000000002 4asq 1.89705 4asq NAG
2x95 1.9596900000000002 4aa1 1.99099 4aa1 NAG
2x95 1.9596900000000002 2x90 1.97862 2x90 NAG
2x95 1.9596900000000002 2xhm 1.95901 2xhm NAG
2x95 1.9596900000000002 4aa2 1.9904700000000002 4aa2 NAG
2x95 1.9596900000000002 4asr 1.89503 4asr NAG
2x95 1.9596900000000002 2x93 1.98127 2x93 NAG
4qsq 1.8013299999999999 4tte 1.8 4tte 36Z
2x95 1.9596900000000002 2x94 1.88145 2x94 NAG
3dg9 1.5 3ip8 1.4980200000000001 3ip8 B85
4qsq 1.8013299999999999 4tu4 1.7300799999999998 4tu4 37N
3q0e 1.7992299999999999 1mb4 1.8445200000000002 1mb4 NDP
4gbc 1.7785 4gbn 1.8720700000000001 4gbn CRS
3cli 1.8000099999999999 2rch 1.84998 2rch 4nhv
1sml 1.71 5hh5 1.74997 5hh5 60M
2zhv 1.84317 5uyu 1.9 5uyu 8QV
3vii 0.970002 3vig 0.9890000000000001 3vig NOJ
2hk6 1.71013 2q2n 1.8000099999999999 2q2n H01
3lrf 1.60007 3u0e 1.60001 3u0e 07K
5e9m 1.7776900000000002 5e74 1.7830000000000001 5e74 5KH
5e9m 1.7776900000000002 5l8t 1.85 5l8t 6RR
5e9m 1.7776900000000002 5dyx 1.8500299999999998 5dyx ADE
5e9y 1.6000299999999998 5dyu 1.6500099999999998 5dyu MZ0
3vih 1.03 3vif 0.9990020000000001 3vif LGC
3a23 1.9000599999999999 3a22 1.9000099999999998 3a22 ARA
5e9m 1.7776900000000002 5l8u 1.85001 5l8u 6RS
3jvj 1.5501200000000002 3mul 1.6500099999999998 3mul BTK
6ajw 1.4011 6ajv 1.44983
5syl 1.95 5sxs 1.88737 5sxs AMP
2rfw 1.59998 2rfy 1.69995 2rfy CBI
5id8 1.09829 5ida 1.0996299999999999 5ida BMA
3row 1.8486799999999999 3s20 1.83906 3s20 CER
5u5x 1.52252 4jma 1.59901 4jma 3FA
4jpu 1.4114 4jqk 1.359 4jqk 1LN
4ngv 1.6401400000000002 4w94 1.55014 4w94 RU1
5glm 1.8002799999999999 5glp 1.8000200000000002 5glp ARA
3aws 1.23853 5z0h 1.17954 5z0h DAH
4jpu 1.4114 4jpt 1.4118700000000002 4jpt Q24
4jpu 1.4114 4jpl 1.41119 4jpl 4JP
5glm 1.8002799999999999 5glo 1.80003 5glo ARA
5glm 1.8002799999999999 5glr 1.70163 5glr 6P1
5gln 1.70003 5glq 1.7 5glq FUB
4xv6 1.55001 4jm6 1.45223 4jm6 LG3
3ax0 1.40015 5z0i 1.31929 5z0i DAH
4nvf 1.49 4jqm 1.41032 4jqm 1LQ
5u5x 1.52252 4jqj 1.60102 4jqj DAH
4kws 1.64232 3qke 1.55 3qke GCO
3gke 1.74957 3gl0 1.74905 3gl0 HXX
1y4g 1.90773 5e29 1.85001 5e29 1vhl
6css 1.7 6csr 1.61901 6csr BHO
5av1 1.49746 5av2 1.5016399999999999 5av2 KMP
5av1 1.49746 5auv 1.4993299999999998 5auv AGI
3qje 1.8000200000000002 2d60 1.7027299999999999 2d60 L35
5av1 1.49746 5aux 1.5001200000000001 5aux KMP
3onv 1.8934099999999998 3ut6 1.89477 3ut6 FMC
3id7 1.29939 3k5x 1.39816 3k5x P8D
3b2x 1.50153 5yq2 1.59998 5yq2 GMC
3b2x 1.50153 5yqb 1.56072 5yqb GMC
3b2x 1.50153 5yq1 1.58025 5yq1 0A1
4mb3 1.5478 4mb4 1.4808 4mb4 NAG
4mb3 1.5478 4mb5 1.63877 4mb5 NAG
5pa9 1.55203 5pau 1.55001 5pau 7ZJ
5pa9 1.55203 5paf 1.4983 5paf 7LR
5paa 1.9809999999999999 5pb3 1.90002 5pb3 9S1
5pa9 1.55203 5pas 1.48316 5pas 7ZD
